Run Count,Count,Run Date,Site ID number,Parameter,Start date,Start time,End date,End time,Potential Observations,Actual Observations,Difference between observations,Agency source,Mean,SD of Mean (column L),5th Percentile,10th Percentile,20th Percentile,30th Percentile,40th Percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,load (kg in time increment)
0,2,2021-07-21 09:43:31.443284,01646500 potomac,"Streamflow, ft&#179;/s",2019-01-01,00:00:00,2020-01-01,00:00:00,82676,68342,14334,USGS,14954.637558163355,1810.0,2140.0,3070.0,4100.0,6110.0,8790.0,13800.0,19000.0,26500.0,35500.0,44700.0,14653.15571942481,18544993760142.0
1,2,2021-07-21 09:44:06.185456,03346500,"Streamflow, ft&#179;/s",2014-01-01,00:00:00,2015-01-01,00:00:00,69180,59238,9942,USGS,2513.802863027111,170.0,229.0,359.0,540.0,906.0,1230.0,1660.0,2340.0,3590.0,7500.0,9740.0,3412.3360301931125,2196328429457.0657
2,2,2021-07-28 11:17:03.665675,05412500 not auto,"Streamflow, ft&#179;/s",1990-01-01,00:00:00,2021-01-01,00:00:00,1553544,1313844,239700,USGS,1855.0836202775977,345.0,428.0,549.0,677.0,862.0,1110.0,1440.0,1870.0,2520.0,3800.0,5600.0,2529.404132303347,36762862006789.164
3,6,2021-07-28 11:17:09.716288,05412500 not auto,"Nitrate plus nitrite, water, in situ, mg/L as N",1990-01-01,00:00:00,2021-01-01,00:00:00,1553544,384138,1169406,USGS,6.881656227709917,3.12,3.66,4.5,5.1,5.9,6.6,7.3,8.2,9.0,10.400000000000002,11.8,2.671656250778293,143423265.76273665
4,4,2021-07-28 11:17:15.151263,05412500 not auto,"Phosphorus, water, unfiltered, mg/L as phosphorus",1990-01-01,00:00:00,2021-01-01,00:00:00,1553544,177890,1375654,USGS,0.3677631648771497,0.0786,0.0905,0.117,0.145,0.178,0.219,0.2754000000000015,0.372,0.519,0.829,1.13,0.41919028166296723,N/A
5,3,2021-07-28 11:17:21.640389,05412500 not auto,"Gage height, ft",1990-01-01,00:00:00,2021-01-01,00:00:00,1553544,882246,671298,USGS,8.15651976886317,5.95,6.13,6.45,6.79,7.13,7.55,8.05,8.62,9.38,10.74,12.36,2.325154670627607,N/A
6,1,2021-07-28 11:17:26.987711,05412500 not auto,"Temperature, water, &#176;C",1990-01-01,00:00:00,2021-01-01,00:00:00,1553544,266312,1287232,USGS,15.221218720899408,0.1,3.9,7.1,10.4,13.5,16.9,19.4,21.0,22.5,24.3,25.7,7.874447534499144,N/A
7,11,2021-09-30 10:19:12.819194,01389005_passaic_test,"Nitrate plus nitrite, water, in situ, mg/L as N",2015-01-01,00:00:00,2016-01-01,00:00:00,67638,16898,50740,USGS,2.3934039531305533,0.71,0.9100000000000001,1.27,1.63,1.93,2.33,2.67,3.02,3.41,3.95,4.5,1.1635351720579514,273552.1462100332
8,1,2021-11-04 08:57:22.078274,03346500,"Temperature, water, &#176;C",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,89972,50286,USGS,15.211743653581792,1.3,2.8,6.6,9.5,12.3,15.0,17.9,21.1,24.4,27.6,28.6,8.783817244181511,N/A
9,2,2021-11-04 08:57:23.275229,03346500,"Streamflow, ft&#179;/s",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,129002,11256,USGS,2799.712162602181,92.4,169.0,363.0,687.0,944.0,1240.0,1640.0,2290.0,3770.0,7540.0,11100.0,4457.876286444069,4840925757125.103
10,3,2021-11-04 08:57:24.393363,03346500,"Gage height, ft",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,139324,934,USGS,21.642651230226075,17.07,17.66,18.34,18.92,19.56,20.16,21.0,22.21,24.46,28.16,31.36,4.454267382344106,N/A
11,4,2021-11-04 08:57:25.676988,03346500,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25&#176;C",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,89786,50472,USGS,449.066112757,203.0,263.0,346.0,393.0,438.0,472.0,504.0,528.0,555.0,598.0,619.0,123.74237291753921,1463462473.7417033
12,5,2021-11-04 08:57:26.957107,03346500,"Dissolved oxygen, water, unfiltered, mg/L",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,89778,50480,USGS,9.190643587515773,5.0,5.8,6.9,7.9,8.6,9.3,10.0,10.7,11.4,12.6,13.2,2.552852363022616,25450875.793973416
13,6,2021-11-04 08:57:27.990717,03346500,"pH, water, unfiltered, field, standard units",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,75766,64492,USGS,7.994942322413098,7.4,7.6,7.8,7.9,8.0,8.0,8.1,8.2,8.2,8.3,8.4,0.28646724698218207,N/A
14,7,2021-11-04 08:57:28.988877,03346500,"Orthophosphate, water, in situ, milligrams per liter as phosphorus",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,3120,137138,USGS,0.11670897435897427,0.010950000000000001,0.017,0.036,0.053,0.065,0.077,0.088,0.108,0.16420000000000004,0.242,0.38609999999999994,0.12975881441914025,N/A
15,8,2021-11-04 08:57:30.174087,03346500,"Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 &#177;2.5&#176;, formazin nephelometric units (FNU)",2015-01-01,00:00:00,2017-01-01,00:00:00,140258,89378,50880,USGS,73.60650495647673,8.4,11.0,14.0,20.0,26.0,33.0,46.0,74.0,120.0,200.0,270.0,91.59978653746998,N/A
